	genre
0	pop
1	rock
2	rock
3	rock
4	pop
5	dance
6	rock
7	rock
8	rock
9	hip hop
10	pop
11	rock
12	rap
13	hip hop
14	pop
15	pop
16	pop
17	pop
18	dance
19	rock
20	pop
21	pop
22	hip hop
23	pop
24	classical
25	pop
26	rock
27	pop
28	pop
29	rock
30	pop
31	hip hop
32	pop
33	pop
34	pop
35	rock
36	dance
37	rock
38	rock
39	pop
40	rock
41	rock
42	pop
43	dance
44	classical
45	rock
46	rock
47	rock
48	rock
49	pop
50	pop
51	pop
52	rock
53	rock
54	hip hop
55	pop
56	dance
57	pop
58	rap
59	pop
60	hip hop
61	country
62	rock
63	rock
64	rock
65	hip hop
66	pop
67	pop
68	pop
69	pop
70	rock
71	rock
72	pop
73	rock
74	pop
75	rock
76	pop
77	pop
78	rock
79	pop
80	pop
81	rock
82	rock
83	rock
84	pop
85	pop
86	pop
87	rock
88	rock
89	rock
90	rap
91	rock
92	pop
93	pop
94	pop
95	rock
96	pop
97	pop
98	pop
99	rock
100	pop
101	pop
102	dance
103	rock
104	rock
105	rap
106	rap
107	dance
108	dance
109	dance
110	pop
111	rock
112	rock
113	punk
114	hip hop
115	pop
116	pop
117	rock
118	punk
119	pop
120	pop
121	pop
122	pop
123	rock
124	pop
125	pop
126	rock
127	pop
128	rock
129	pop
130	rock
131	pop
132	pop
133	rock
134	pop
135	rock
136	rock
137	rock
138	blues
139	pop
140	rock
141	rock
142	pop
143	rock
144	pop
145	edm
146	rock
147	rock
148	rock
149	classical
150	pop
151	pop
152	edm
153	rock
154	pop
155	hip hop
156	pop
157	rock
158	rock
159	rap
160	rock
161	rock
162	pop
163	pop
164	pop
165	dance
166	rock
167	pop
168	dance
169	rock
170	pop
171	pop
172	hip hop
173	blues
174	pop
175	pop
176	pop
177	rock
178	pop
179	hip hop
180	pop
181	rock
182	punk
183	pop
184	hip hop
185	rock
186	pop
187	pop
188	rock
189	pop
190	hip hop
191	pop
192	edm
193	pop
194	pop
195	pop
196	dance
197	dance
198	rock
199	rock
200	pop
201	pop
202	hip hop
203	punk
204	rock
205	rock
206	pop
207	pop
208	pop
209	pop
210	rock
211	rock
212	rock
213	dance
214	pop
215	rock
216	pop
217	pop
218	rock
219	country
220	punk
221	pop
222	rock
223	rock
224	pop
225	hip hop
226	pop
227	rock
228	dance
229	pop
230	rock
231	rock
232	rock
233	pop
234	pop
235	pop
236	pop
237	rock
238	hip hop
239	rock
240	country
241	pop
242	hip hop
243	pop
244	pop
245	pop
246	hip hop
247	rock
248	pop
249	pop
250	rock
251	rock
252	rock
253	pop
254	pop
255	rock
256	pop
257	pop
258	rock
259	rock
260	rock
261	pop
262	rap
263	pop
264	pop
265	pop
266	rock
267	pop
268	hip hop
269	pop
270	pop
271	pop
272	pop
273	rock
274	pop
275	rock
276	pop
277	pop
278	pop
279	rock
280	rock
281	dance
282	rock
283	rock
284	pop
285	pop
286	hip hop
287	rock
288	pop
289	pop
290	rap
291	pop
292	dance
293	hip hop
294	pop
295	dance
296	country
297	r&b
298	rock
299	rock
300	rock
301	hip hop
302	rock
303	pop
304	rock
305	pop
306	rock
307	hip hop
308	rock
309	pop
310	rock
311	rock
312	pop
313	hip hop
314	hip hop
315	rock
316	hip hop
317	hip hop
318	rock
319	rap
320	pop
321	rock
322	pop
323	classical
324	hip hop
325	hip hop
326	rock
327	rock
328	pop
329	rock
330	pop
331	rock
332	pop
333	rock
334	pop
335	pop
336	pop
337	pop
338	pop
339	rock
340	rock
341	rock
342	rock
343	pop
344	rock
345	country
346	hip hop
347	dance
348	hip hop
349	hip hop
350	pop
351	rock
352	rock
353	pop
354	rap
355	pop
356	rock
357	rock
358	pop
359	pop
360	pop
361	rock
362	pop
363	rock
364	rock
365	rock
366	hip hop
367	classical
368	rock
369	pop
370	dance
371	pop
372	pop
373	pop
374	rock
375	pop
376	pop
377	pop
378	rock
379	pop
380	rap
381	punk
382	pop
383	pop
384	classical
385	hip hop
386	classical
387	dance
388	pop
389	hip hop
390	hip hop
391	pop
392	rock
393	punk
394	rock
395	dance
396	pop
397	pop
398	pop
399	pop
400	pop
401	pop
402	pop
403	rock
404	dance
405	rock
406	rock
407	pop
408	rock
409	dance
410	rock
411	pop
412	rock
413	rock
414	rock
415	pop
416	pop
417	pop
418	rock
419	pop
420	rock
421	pop
422	hip hop
423	pop
424	pop
425	pop
426	pop
427	rock
428	pop
429	pop
430	country
431	rock
432	pop
433	pop
434	pop
435	pop
436	rock
437	rock
438	pop
439	pop
440	pop
441	hip hop
442	pop
443	pop
444	pop
445	pop
446	pop
447	pop
448	rock
449	pop
450	rock
451	rock
452	pop
453	rock
454	rock
455	rap
456	pop
457	pop
458	hip hop
459	pop
460	pop
461	rock
462	rock
463	pop
464	rock
465	pop
466	rock
467	rock
468	rock
469	pop
470	pop
471	pop
472	pop
473	dance
474	pop
475	pop
476	rock
477	rock
478	pop
479	rock
480	pop
481	pop
482	rock
483	pop
484	pop
485	pop
486	rock
487	rock
488	pop
489	rock
490	rock
491	hip hop
492	pop
493	rock
494	rock
495	pop
496	rap
497	pop
498	pop
499	pop
500	pop
501	dance
502	pop
503	pop
504	rock
505	rock
506	rock
507	dance
508	rock
509	rock
510	pop
511	dance
512	pop
513	pop
514	punk
515	pop
516	pop
517	pop
518	rock
519	blues
520	hip hop
521	pop
522	pop
523	rock
524	pop
525	pop
526	rock
527	pop
528	rock
529	hip hop
530	pop
531	pop
532	hip hop
533	rock
534	dance
535	rock
536	rock
537	dance
538	rock
539	pop
540	rock
541	rock
542	rock
543	hip hop
544	rock
545	hip hop
546	pop
547	rock
548	pop
549	rock
550	classical
551	rock
552	pop
553	classical
554	edm
555	rock
556	pop
557	rock
558	dance
559	dance
560	rock
561	dance
562	pop
563	pop
564	pop
565	pop
566	pop
567	hip hop
568	rap
569	pop
570	pop
571	rock
572	rock
573	rock
574	hip hop
575	rock
576	pop
577	rock
578	dance
579	pop
580	classical
581	punk
582	pop
583	pop
584	hip hop
585	pop
586	rock
587	hip hop
588	hip hop
589	pop
590	rock
591	pop
592	rock
593	pop
594	pop
595	dance
596	rap
597	rock
598	pop
599	rock
600	rock
601	dance
602	pop
603	rock
604	pop
605	pop
606	pop
607	pop
608	rock
609	pop
610	rock
611	pop
612	rock
613	rock
614	rock
615	rock
616	pop
617	pop
618	classical
619	hip hop
620	pop
621	rock
622	rock
623	pop
624	rock
625	hip hop
626	hip hop
627	pop
628	hip hop
629	pop
630	pop
631	classical
632	rock
633	rock
634	rock
635	rock
636	rap
637	pop
638	hip hop
639	rock
640	pop
641	rock
642	pop
643	pop
644	rock
645	pop
646	pop
647	rock
648	pop
649	rock
650	rock
651	pop
652	rock
653	hip hop
654	pop
655	pop
656	pop
657	blues
658	rock
659	pop
660	classical
661	pop
662	rock
663	pop
664	pop
665	pop
666	hip hop
667	pop
668	rock
669	rock
670	pop
671	rock
672	rock
673	rap
674	rock
675	rock
676	rock
677	rap
678	rock
679	rock
680	pop
681	pop
682	pop
683	pop
684	rock
685	rock
686	rock
687	dance
688	rock
689	rap
690	pop
691	pop
692	rock
693	pop
694	pop
695	pop
696	dance
697	pop
698	pop
699	hip hop
700	rock
701	rock
702	rock
703	rock
704	rock
705	dance
706	rock
707	dance
708	pop
709	rock
710	pop
711	pop
712	pop
713	rock
714	rock
715	rap
716	pop
717	rock
718	pop
719	pop
720	pop
721	pop
722	pop
723	hip hop
724	pop
725	pop
726	rock
727	rock
728	r&b
729	hip hop
730	pop
731	classical
732	rock
733	rock
734	hip hop
735	rock
736	pop
737	pop
738	pop
739	rock
740	classical
741	punk
742	pop
743	pop
744	rock
745	punk
746	rock
747	pop
748	pop
749	pop
750	rock
751	punk
752	rock
753	rap
754	pop
755	rock
756	rock
757	pop
758	rock
759	rap
760	rap
761	pop
762	pop
763	pop
764	dance
765	rock
766	pop
767	pop
768	rock
769	rock
770	pop
771	pop
772	pop
773	hip hop
774	rock
775	hip hop
776	pop
777	rock
778	pop
779	dance
780	rock
781	pop
782	rock
783	rock
784	pop
785	pop
786	rock
787	pop
788	rock
789	blues
790	pop
791	pop
792	pop
793	dance
794	dance
795	pop
796	pop
797	rock
798	pop
799	hip hop
800	rock
801	rap
802	pop
803	dance
804	rock
805	pop
806	dance
807	pop
808	pop
809	pop
810	rock
811	pop
812	dance
813	rock
814	pop
815	rock
816	pop
817	pop
818	pop
819	rock
820	rock
821	classical
822	classical
823	pop
824	rock
825	rock
826	punk
827	rock
828	pop
829	pop
830	rock
831	pop
832	rap
833	pop
834	pop
835	pop
836	dance
837	hip hop
838	classical
839	punk
840	pop
841	hip hop
842	pop
843	pop
844	r&b
845	pop
846	pop
847	edm
848	pop
849	dance
850	rock
851	rap
852	blues
853	rock
854	pop
855	rock
856	rap
857	pop
858	rock
859	pop
860	classical
861	rock
862	pop
863	dance
864	pop
865	rock
866	rock
867	rock
868	pop
869	rock
870	pop
871	pop
872	rock
873	pop
874	rock
875	rock
876	pop
877	pop
878	blues
879	pop
880	pop
881	rock
882	rock
883	pop
884	rock
885	pop
886	rock
887	rock
888	pop
889	hip hop
890	country
891	dance
892	pop
893	rock
894	punk
895	hip hop
896	classical
897	pop
898	dance
899	pop
900	pop
901	pop
902	pop
903	dance
904	rock
905	pop
906	rock
907	hip hop
908	dance
909	pop
910	hip hop
911	dance
912	pop
913	rock
914	rock
915	rock
916	dance
917	rock
918	rock
919	pop
920	punk
921	rap
922	pop
923	rock
924	pop
925	dance
926	pop
927	rock
928	pop
929	pop
930	rock
931	hip hop
932	rock
933	rock
934	hip hop
935	pop
936	rock
937	rock
938	rock
939	pop
940	punk
941	pop
942	hip hop
943	rock
944	pop
945	rap
946	hip hop
947	pop
948	pop
949	r&b
950	rock
951	pop
952	dance
953	pop
954	rock
955	pop
956	pop
957	rock
958	dance
959	pop
960	rock
961	pop
962	rock
963	hip hop
964	pop
965	pop
966	rock
967	pop
968	pop
969	pop
970	rock
971	pop
972	rock
973	pop
974	pop
975	rock
976	rock
977	country
978	pop
979	rock
980	hip hop
981	rock
982	classical
983	rock
984	pop
985	pop
986	pop
987	hip hop
988	rock
989	rock
990	hip hop
991	dance
992	rock
993	rock
994	rock
995	pop
996	pop
997	rock
998	rock
999	pop
1000	rap
1001	rock
1002	pop
1003	rock
1004	hip hop
1005	dance
1006	rock
1007	dance
1008	hip hop
1009	rock
1010	pop
1011	dance
1012	rock
1013	pop
1014	pop
1015	pop
1016	rock
1017	pop
1018	pop
1019	rock
1020	hip hop
1021	pop
1022	rock
1023	hip hop
1024	pop
1025	hip hop
1026	pop
1027	pop
1028	pop
1029	pop
1030	rock
1031	pop
1032	pop
1033	edm
1034	rock
1035	rock
1036	rock
1037	pop
1038	rock
1039	hip hop
1040	rock
1041	pop
1042	pop
1043	pop
1044	pop
1045	pop
1046	hip hop
1047	pop
1048	rock
1049	pop
1050	rock
1051	rock
1052	rock
1053	rock
1054	rap
1055	rock
1056	rock
1057	rock
1058	rock
1059	rock
1060	hip hop
1061	pop
1062	pop
1063	rock
1064	pop
1065	pop
1066	rock
1067	dance
1068	dance
1069	pop
1070	rock
1071	rock
1072	hip hop
1073	pop
1074	pop
1075	rock
1076	rock
1077	pop
1078	pop
1079	hip hop
1080	rock
1081	pop
1082	pop
1083	rock
1084	rock
1085	pop
1086	classical
1087	classical
1088	pop
1089	rock
1090	punk
1091	rock
1092	pop
1093	rock
1094	rock
1095	pop
1096	dance
1097	rock
1098	pop
1099	pop
1100	blues
1101	pop
1102	pop
1103	rock
1104	rock
1105	rock
1106	rock
1107	rock
1108	rock
1109	pop
1110	pop
1111	rock
1112	pop
1113	rock
1114	rock
1115	pop
1116	pop
1117	rock
1118	rock
1119	rock
1120	rock
1121	rock
1122	pop
1123	hip hop
1124	pop
1125	hip hop
1126	rock
1127	rock
1128	rock
1129	pop
1130	rock
1131	rock
1132	pop
1133	rock
1134	hip hop
1135	hip hop
1136	hip hop
1137	pop
1138	pop
1139	pop
1140	pop
1141	rock
1142	pop
1143	pop
1144	dance
1145	classical
1146	hip hop
1147	rock
1148	rock
1149	hip hop
1150	rock
1151	rock
1152	dance
1153	pop
1154	hip hop
1155	pop
1156	rock
1157	rock
1158	pop
1159	pop
1160	classical
1161	pop
1162	pop
1163	rock
1164	rock
1165	hip hop
1166	classical
1167	dance
1168	rap
1169	rap
1170	blues
1171	pop
1172	rock
1173	hip hop
1174	classical
1175	dance
1176	rock
1177	dance
1178	pop
1179	rock
1180	hip hop
1181	pop
1182	hip hop
1183	hip hop
1184	hip hop
1185	pop
1186	pop
1187	rock
1188	hip hop
1189	pop
1190	hip hop
1191	dance
1192	pop
1193	punk
1194	pop
1195	pop
1196	pop
1197	pop
1198	rock
1199	rock
1200	pop
1201	country
1202	rock
1203	hip hop
1204	pop
1205	rock
1206	classical
1207	rock
1208	dance
1209	rock
1210	rock
1211	rock
1212	classical
1213	pop
1214	pop
1215	pop
1216	pop
1217	rock
1218	pop
1219	pop
1220	rock
1221	rock
1222	pop
1223	pop
1224	rock
1225	hip hop
1226	pop
1227	pop
1228	rock
1229	rock
1230	hip hop
1231	rock
1232	rock
1233	pop
1234	hip hop
1235	hip hop
1236	pop
1237	hip hop
1238	pop
1239	country
1240	pop
1241	pop
1242	rock
1243	rock
1244	rock
1245	pop
1246	hip hop
1247	rock
1248	pop
1249	rock
1250	dance
1251	rock
1252	pop
1253	pop
1254	pop
1255	rock
1256	pop
1257	pop
1258	pop
1259	rock
1260	rock
1261	pop
1262	pop
1263	pop
1264	hip hop
1265	rock
1266	dance
1267	pop
1268	rock
1269	pop
1270	pop
1271	hip hop
1272	rock
1273	hip hop
